AU,AF,CR,AB,AR,BA,BE,BF,BN,BP,C1,C3,CA,CL,CT,CY,D2,DA,DE,DI,DT,EA,EF,EI,EM,EP,ER,FU,FX,GA,GP,HO,ID,IS,J9,JI,LA,NR,OA,OI,PA,PD,PG,PI,PM,PN,PT,PU,PY,RI,RP,SC,SE,SI,SN,SO,SP,SU,TC,TI,U1,U2,UT,VL,WC,WE,Z9,DB,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,AU_CO
CHON K,"CHON, K",NA,NA,NA,NA,NA,NA,NA,116,"KOREAN ADV INST SCI & TECHNOL, DEPT COMP SCI, SEOUL, SOUTH KOREA.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,10.1145/365181.365231,ARTICLE,NA,NA,NA,NA,116,,NA,NA,409NG,NA,NA,NA,3,COMMUN ACM,COMMUN. ACM,ENGLISH,0,NA,NA,"1515 BROADWAY, NEW YORK, NY 10036 USA",MAR,1,NEW YORK,NA,NA,J,ASSOC COMPUTING MACHINERY,2001,NA,"CHON, K (CORRESPONDING AUTHOR), KOREAN ADV INST SCI & TECHNOL, DEPT COMP SCI, SEOUL, SOUTH KOREA.",COMPUTER SCIENCE,NA,NA,0001-0782,COMMUNICATIONS OF THE ACM,NA,NA,5,THE FUTURE OF THE INTERNET DIGITAL DIVIDE,1,4,WOS:000167389300043,44,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, THEORY & METHODS",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),5,ISI,KOREAN ADV INST SCI AND TECHNOL,KOREAN ADV INST SCI AND TECHNOL,NA,"CHON K, 2001, COMMUN ACM","CHON K, 2001, COMMUN ACM-a",KOREA
DOUGHERTY J;ZANNONI D;CHOWHAN M;COYNE C;DAWSON B;GURUGE T;NUKIC B,"DOUGHERTY, JACK;ZANNONI, DIANE;CHOWHAN, MAHAM;COYNE, COURTENEY;DAWSON, BENJAMIN;GURUGE, TEHANI;NUKIC, BEGAETA",NA,NA,NA,"ORFIELD, G FRANKENBERG, E",NA,"ORFIELD, G FRANKENBERG, E",978-0-520-95510-3; 978-0-520-27474-7,219,"TRINITY COLL DUBLIN, CITIES SUBURBS & SCH PROJECT, DUBLIN, IRELAND.;  TRINITY COLL DUBLIN, DUBLIN, IRELAND.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,NA,ARTICLE; BOOK CHAPTER,NA,NA,NA,NA,237,,NA,NA,BDZ24,NA,NA,NA,NA,EDUCATIONAL DELUSIONS?: WHY CHOICE CAN DEEPEN INEQUALITY AND HOW TO MAKE SCHOOLS FAIR,NA,ENGLISH,0,NA,NA,"155 GRAND AVE, SUITE 400, OAKLAND, CA 94612-3758 USA",NA,19,OAKLAND,NA,NA,B,UNIV CALIFORNIA PRESS,2013,NA,"DOUGHERTY, J (CORRESPONDING AUTHOR), TRINITY COLL DUBLIN, CITIES SUBURBS & SCH PROJECT, DUBLIN, IRELAND.",EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,EDUCATIONAL DELUSIONS?: WHY CHOICE CAN DEEPEN INEQUALITY AND HOW TO MAKE SCHOOLS FAIR,NA,NA,4,"SCHOOL INFORMATION, PARENTAL DECISIONS, AND THE DIGITAL DIVIDE THE SMARTCHOICES PROJECT IN HARTFORD, CONNECTICUT",0,3,WOS:000315698300010,NA,EDUCATION & EDUCATIONAL RESEARCH,BOOK CITATION INDEX – SOCIAL SCIENCES & HUMANITIES (BKCI-SSH),4,ISI,TRINITY COLL DUBLIN;TRINITY COLL DUBLIN,TRINITY COLL DUBLIN,NA,"DOUGHERTY J, 2013, EDUCATIONAL DELUSIONS?: WHY CHOICE CAN DEEPEN INEQUALITY AND HOW TO MAKE SCHOOLS FAIR","DOUGHERTY J, 2013, EDUCATIONAL DELUSIONS?: WHY CHOICE CAN DEEPEN INEQUALITY AND HOW TO MAKE SCHOOLS FAIR",IRELAND;IRELAND
TSENG SF;YOU YC,"TSENG, SHU-FEN;YOU, YU-CHING","ANONYMOUS, 2008, STAT SURV REP INT DE;CASTELLS M., 2001, INTERNET GALAXY REFL;CASTELLS M., 1996, RISE NETWORK SOC;CHINA INTERNET NETWORK INFORMATION CENTER (CNNIC), 1998, STAT REP INT DEV CHI;DIMAGGIO P, 2001, UNEQUAL ACCESS DIFFE;HARGITTAI E., 2002, 1 MONDAY, V7, DOI DOI 10.5210/FM.V7I4.942, 10.5210/FM.V7I4.942;HELSPER E., 2020, DIGITAL INCLUSION AN;INTERNATIONAL TELECOMMUNICATION UNION (ITU), 2011, MEAS INF SOC;INTERNATIONAL TELECOMMUNICATIONS UNION (ITU), 2010, ICT DAT STAT;LAURENT V., 2010, 2 ORDER DIGITAL DIVI;LIANG B, 2010, J CONTEMP CRIM JUST, V26, P103, DOI DOI 10.1177/1043986209350437;LIN N., 2001, SOCIAL CAPITAL THEOR;MACKINNON R, 2008, PUBLIC CHOICE, V134, P31, DOI 10.1007/S11127-007-9199-0;MANNON S.E., 2010, INTERNET SOCIAL INEQ;NORRIS P., 2001, DIGITAL DIVIDE CIVIC;RESEARCH DEVELOPMENT AND EVALUATION COMMISSION (RDEC), 2002, IND HOUS DIG DIV SUR;US DEPARTMENT OF COMMERCE, 1995, FALL NET SURV HAV NO;VAN DIJK J. A. G. M, 2005, DEEPENING DIVIDE INE;WARSCHAUER M., 2003, TECHNOLOGY SOCIAL IN",NA,NA,NA,"RAGNEDDA, M MUSCHERT, GW",NA,978-0-203-06976-9; 978-0-415-52544-2,147,"YUAN ZE UNIV, GRAD PROGRAM SOCIAL INFORMAT, TAO YUAN, TAIWAN.;  NATL TAIWAN UNIV, TAIPEI, TAIWAN.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,NA,ARTICLE; BOOK CHAPTER,NA,NA,NA,NA,164,,NA,NA,BHW17,NA,NA,NA,NA,ROUTL ADV SOCIOL,NA,ENGLISH,19,NA,NA,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",NA,18,ABINGDON,NA,NA,B,ROUTLEDGE,2013,NA,"TSENG, SF (CORRESPONDING AUTHOR), YUAN ZE UNIV, GRAD PROGRAM SOCIAL INFORMAT, TAO YUAN, TAIWAN.",SOCIAL ISSUES; SOCIOLOGY,ROUTLEDGE ADVANCES IN SOCIOLOGY,NA,NA,DIGITAL DIVIDE: THE INTERNET AND SOCIAL INEQUALITY IN INTERNATIONAL PERSPECTIVE,NA,NA,4,"THE DIGITAL DIVIDE IN CHINA, HONG KONG AND TAIWAN THE BARRIERS OF FIRST ORDER AND SECOND ORDER DIGITAL DIVIDE",0,2,WOS:000326814600011,NA,SOCIAL ISSUES; SOCIOLOGY,BOOK CITATION INDEX – SOCIAL SCIENCES & HUMANITIES (BKCI-SSH),4,ISI,YUAN ZE UNIV;NATL TAIWAN UNIV,YUAN ZE UNIV,NA,"TSENG SF, 2013, ROUTL ADV SOCIOL","TSENG SF, 2013, ROUTL ADV SOCIOL",CHINA;CHINA
WARF B,"WARF, BARNEY","ANDERSON K., 2004, 200436 UN U WORLD I;BHUIYAN S.H., 2009, PUBLIC ORGAN REV, V10, P31, DOI 10.1007/S11115-009-0087-6, DOI 10.1007/S11115-009-0087-6;CASELLI F, 2001, AM ECON REV, V91, P328, DOI 10.1257/AER.91.2.328;CLARK M, 2011, ELECTR J INF SYS DEV, V46;CLARKE G.R., 2004, COMP ECON STUD, V46, P341, DOI HTTPS://DOI.ORG/10.1057/PALGRAVE.CES.8100038, DOI 10.1057/PALGRAVE.CES.8100038;COMIN D, 2004, J MONETARY ECON, V51, P39, DOI 10.1016/J.JMONECO.2003.07.003;COMPAINE B. M., 2001, DIGITAL DIVIDE FACIN;COOPER M., 2001, DIGITAL DIVIDE;CRANG M, 2006, URBAN STUD, V43, P2551, DOI 10.1080/00420980600970664;DAVISON R, 2003, ELECT COMMERCE NEW S;ESCAP, 2009, EC DEV IMPR REG BROA;EURASIANET.ORG, 2007, TURKM INT ACC COM SO;FALKINGHAM J, 2005, SOC POLICY ADMIN, V39, P340, DOI 10.1111/J.1467-9515.2005.00444.X;FREEDOM HOUSE, 2011, KAZ;KAPITSA L., 2008, 20081 UN EC COMM EUR, P1;KELLER W, 2004, J ECON LIT, V42, P752, DOI 10.1257/0022051042177685;KORUPP SE, 2005, EUR SOCIOL REV, V21, P409, DOI 10.1093/ESR/JCI030;LAMBROSCHINI A., 2011, NO TWITTER REVOLT CE;MACHLEDER J., 2002, EURASIA INSIGHT 0312, P12;MANNON S.E., 2010, INTERNET SOCIAL INEQ;MCGLINCHEY E., 2007, DEMOCRATIZATION, V14, P277;NORRIS P., 2001, DIGITAL DIVIDE CIVIC;OPENNET INITIATIVE, 2010, KYRG;OPENNET INITIATIVE, 2010, UZB;OPENNET INITIATIVE, 2010, TURKM;PRIVACY INTERNATIONAL, 2003, UZB;REPORTERS WITHOUT BORDERS, TURKM;SCHWARTZ S., 2005, WEEKLY STANDARD 0411, V10, P12;SRINIVASAN R, 2009, J COMPUT-MEDIAT COMM, V14, P559, DOI 10.1111/J.1083-6101.2009.01453.X;STEVENS D., 2006, INEQUALITY COM MONEY;WARF B, 2001, ENVIRON PLANN B, V28, P3, DOI 10.1068/B2691;WARF B., 2010, ARAB WORLD GEOGRAPHE, V13, P217;WARF B, 2009, EURASIAN GEOGR ECON, V50, P564, DOI 10.2747/1539-7216.50.5.564;WEI C. Y., 2005, NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA, V11, P205, DOI 10.1080/13614560500402817;*WORLD BANK, 2011, LITTL DAT BOOK INF C",NA,NA,NA,"RAGNEDDA, M MUSCHERT, GW",NA,978-0-203-06976-9; 978-0-415-52544-2,270,"UNIV KANSAS, LAWRENCE, KS 66045 USA.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,NA,ARTICLE; BOOK CHAPTER,NA,NA,NA,NA,284,,NA,NA,BHW17,NA,NA,GEOGRAPHIES,NA,ROUTL ADV SOCIOL,NA,ENGLISH,35,NA,NA,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",NA,15,ABINGDON,NA,NA,B,ROUTLEDGE,2013,NA,"WARF, B (CORRESPONDING AUTHOR), UNIV KANSAS, LAWRENCE, KS 66045 USA.",SOCIAL ISSUES; SOCIOLOGY,ROUTLEDGE ADVANCES IN SOCIOLOGY,NA,NA,DIGITAL DIVIDE: THE INTERNET AND SOCIAL INEQUALITY IN INTERNATIONAL PERSPECTIVE,NA,NA,4,THE CENTRAL ASIAN DIGITAL DIVIDE,0,0,WOS:000326814600019,NA,SOCIAL ISSUES; SOCIOLOGY,BOOK CITATION INDEX – SOCIAL SCIENCES & HUMANITIES (BKCI-SSH),4,ISI,UNIV KANSAS,UNIV KANSAS,NA,"WARF B, 2013, ROUTL ADV SOCIOL","WARF B, 2013, ROUTL ADV SOCIOL",USA
TURPIN T;COOPER R,"TURPIN, T;COOPER, R","JAIN ASHOK, 2003, NAVIGATING INNOVATIO, P149;JUMA C, 2005, INNOVATION APPL KNOW, P50;LUCAS HC, 2003, PROMETHEUS, V21, P3, DOI DOI 10.1080/0810902032000050983;WARSCHAUER M., 2004, TECHNOLOGY SOCIAL IN;WILSON EJ, 2004, INFORMATION REVOLUTI",NA,NA,NA,NA,NA,NA,419,"UNIV WESTERN SYDNEY, AEGIS, CITY RES CTR, SYDNEY, NSW 1230, AUSTRALIA.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,10.1007/s11024-005-2471-x,REVIEW,NA,NA,1573-1871,T.TURPIN@UWS.EDU.AU; R.COOPER@UWS.EDU.AU,427,,NA,NA,015TS,NA,NA,NA,4,MINERVA,MINERVA,ENGLISH,5,NA,NA,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",DEC,9,DORDRECHT,NA,NA,J,SPRINGER,2005,NA,"TURPIN, T (CORRESPONDING AUTHOR), UNIV WESTERN SYDNEY, AEGIS, CITY RES CTR, POB Q1287 QVB POST OFF, SYDNEY, NSW 1230, AUSTRALIA.",EDUCATION & EDUCATIONAL RESEARCH; HISTORY & PHILOSOPHY OF SCIENCE; SOCIAL SCIENCES - OTHER TOPICS,NA,NA,0026-4695,MINERVA,NA,NA,4,"TECHNOLOGY, ADAPTATION, AND PUBLIC POLICY IN DEVELOPING COUNTRIES: THE 'INS AND OUTS' OF THE DIGITAL DIVIDE",1,5,WOS:000235574500005,43,"EDUCATION & EDUCATIONAL RESEARCH; HISTORY & PHILOSOPHY OF SCIENCE; SOCIAL SCIENCES, INTERDISCIPLINARY",SOCIAL SCIENCE CITATION INDEX (SSCI),4,ISI,UNIV WESTERN SYDNEY,UNIV WESTERN SYDNEY,NA,"TURPIN T, 2005, MINERVA","TURPIN T, 2005, MINERVA-a",AUSTRALIA
HOUSTON RD;ERDELEZ S,"HOUSTON, RD;ERDELEZ, S","BIMBER B, 2000, SOC SCI QUART, V81, P868;BIRDSALL WF, 2000, 1 MONDAY, P5;BUCY EP, 2000, HARV INT J PRESS-POL, V5, P50, DOI 10.1162/108118000568967;CHATMAN EA, 1996, J AM SOC INFORM SCI, V47, P193, DOI 10.1002/(SICI)1097-4571(199603)47:3<193::AID-ASI3>3.0.CO;2-T;CHILDERS T, 1975, INFORMATION POOR AM;CLINTON B, 2000, WEEKLY COMPILATION P, V36, P209;CORNFIELD M, 2000, CAMPAIGNS ELECTIONS, V21, P47;CROCKETT RO, 2000, BUS WEEK, P56;DERVIN B, 1994, J AM SOC INFORM SCI, V45, P369, DOI 10.1002/(SICI)1097-4571(199407)45:6<369::AID-ASI3>3.0.CO;2-5;FOUNTAIN KC, 2001, POLITICAL ADVOCACY G;GOLDSBOROUGH REID, 2000, BLACK ISSUES HIGHER, V16, P46;HOCHSCHILD J.L., 1981, WHATS FAIR AM BELIEF;HOWLAND JS, 1998, ELECTRON LIBR, V16, P287, DOI 10.1108/EB045651;INTRONA LD, 2000, INFORM SOC, V16, P169;KENNEDY P, 2000, UNESCO COURIER, V53, P9;KUHLTHAU CC, 1988, P ASIS ANNU MEET, V25, P70;LEETE JH, 1919, ALA B, V13, P116;LICKLIDER JCR, 1968, SCI TECHNOLOGY, V40;LUKE TIMOTHY W., 2000, TELOS, V118, P3;*NAT TEL INF ADM U, 2000, FALL NET DEF DIG DIV;REINGOLD J, 2001, FAST COMPANY, V3, P124;REVEL M, 2000, ISR MED ASSOC J, V2, P8;ROBINSON G, 2000, NEW STATESMAN, V129, PR3;SCHEMENT J, 1996, UNIVERSAL SERVICE CH;SICHERL P., 2000, INFORMATICA, V24, P439;SINGLETON S., 2000, EDUCAUSE REVIEW, V35, P30;THIERER AD, 2000, CONSUMERS RES MAGAZI, P83;WOELLERT L, 2000, BUS WEEK, P57;2000, CHILDRENS PARTNERSHI",NA,NA,NA,NA,NA,NA,19,"UNIV TEXAS, GRAD SCH LIB & INFORMAT SCI, AUSTIN, TX 78712 USA.; UNIV MISSOURI, SCH INFORMAT SCI & LEARNING TECHNOL, COLUMBIA, MO 65211 USA.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,10.3172/JIE.13.1.19,ARTICLE,NA,NA,NA,SOFDH@JUNO.COM; ERDELEZS@MISSOURI.EDU,33,,NA,NA,834QT,NA,NA,INTERNET; WORLD,1,J INFORM ETHICS,J. INF. ETHICS,ENGLISH,29,NA,"ERDELEZ, SANDA/0000-0002-6765-4186","BOX 611, JEFFERSON, NC 28640 USA",SPR,15,JEFFERSON,NA,NA,J,"MCFARLAND & COMPANY, INC, PUBLISHERS",2004,"ERDELEZ, SANDA/D-8877-2017","HOUSTON, RD (CORRESPONDING AUTHOR), UNIV TEXAS, GRAD SCH LIB & INFORMAT SCI, SZB 564,D7000, AUSTIN, TX 78712 USA.",INFORMATION SCIENCE & LIBRARY SCIENCE,NA,NA,1061-9321,JOURNAL OF INFORMATION ETHICS,NA,NA,4,THE DIGITAL DIVIDE - WHO REALLY BENEFITS FROM THE PROPOSED SOLUTIONS FOR CLOSING THE GAP,0,6,WOS:000222426300005,13,INFORMATION SCIENCE & LIBRARY SCIENCE,SOCIAL SCIENCE CITATION INDEX (SSCI),4,ISI,UNIV TEXAS;UNIV MISSOURI,UNIV TEXAS,NA,"HOUSTON RD, 2004, J INFORM ETHICS","HOUSTON RD, 2004, J INFORM ETHICS-a",USA;USA
ABUNGU L,"ABUNGU, L","ABUNGU L, 1999, CONNECTIBITY COLLABO;BLACK J, 1999, LOSING GROUND BIT BY;1992, WHAT MUSEUMS AFRICA",NA,NA,NA,NA,NA,NA,29,"AFRICOM, NAIROBI, KENYA.;",NA,NA,NA,NA,NA,NA,2022-09-17,NA,10.1111/1468-0033.00385,ARTICLE,NA,NA,NA,NA,34,,NA,NA,618MV,NA,NA,NA,3,MUSEUM INT,MUS. INT.,ENGLISH,3,NA,NA,"108 COWLEY RD, OXFORD OX4 1JF, OXON, ENGLAND",SEP,6,OXFORD,NA,NA,J,BLACKWELL PUBL LTD,2002,NA,"ABUNGU, L (CORRESPONDING AUTHOR), AFRICOM, NAIROBI, KENYA.",ART,NA,NA,1350-0775,MUSEUM INTERNATIONAL,NA,NA,4,ACCESS TO DIGITAL HERITAGE IN AFRICA: BRIDGING THE DIGITAL DIVIDE,1,2,WOS:000179422600005,54,ART,ARTS &AMP; HUMANITIES CITATION INDEX (A&AMP;HCI),4,ISI,NA,L (CORRESPONDING AUTHOR),NA,"ABUNGU L, 2002, MUSEUM INT","ABUNGU L, 2002, MUSEUM INT-a",KENYA
GINSBURG L;SABATINI J;WAGNER DA,"GINSBURG, L;SABATINI, J;WAGNER, DA","*LINCT COAL, LEARN INF NETW COMM",NA,NA,NA,NA,NA,92-64-18288-8,77,"UNIV PENN, NCAL, PHILADELPHIA, PA 19104 USA.;",NA,NA,"UNIV PENN, PHILADELPHIA, PA",ROUNDTABLE ON THE LIFELONG LEARNING AND NEW TECHNOLOGIES GAP - REACHING THE DISADVANTAGED,"DEC 08-10, 1999",NA,2022-09-17,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,89,,NA,NA,BR45H,OECD OECD,UNIV PENN,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,NA,ENGLISH,1,NA,NA,"2, RUE ANDRE PASCAL, CEDEX 16, 75775 PARIS, FRANCE",NA,13,PARIS,NA,NA,C,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,2000,NA,NA,EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,"US DEPT EDUC, OFF VOCAT & ADULT EDUC, UNESCO, IBM CORP, INT LITERACY INST",NA,4,BASIC SKILLS IN ADULT EDUCATION AND THE DIGITAL DIVIDE,1,2,WOS:000166446300006,NA,EDUCATION & EDUCATIONAL RESEARCH,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),4,ISI,UNIV PENN,UNIV PENN,NA,"GINSBURG L, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS","GINSBURG L, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS-a",USA
VENEZKY RL,"VENEZKY, RL",NA,NA,NA,NA,NA,NA,92-64-18288-8,63,NA,NA,NA,"UNIV PENN, PHILADELPHIA, PA",ROUNDTABLE ON THE LIFELONG LEARNING AND NEW TECHNOLOGIES GAP - REACHING THE DISADVANTAGED,"DEC 08-10, 1999",NA,2022-09-17,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,76,,NA,NA,BR45H,OECD OECD,UNIV PENN,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,NA,ENGLISH,0,NA,NA,"2, RUE ANDRE PASCAL, CEDEX 16, 75775 PARIS, FRANCE",NA,14,PARIS,NA,NA,C,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,2000,NA,NA,EDUCATION & EDUCATIONAL RESEARCH,NA,NA,NA,LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS,"US DEPT EDUC, OFF VOCAT & ADULT EDUC, UNESCO, IBM CORP, INT LITERACY INST",NA,4,THE DIGITAL DIVIDE WITHIN FORMAL SCHOOL EDUCATION: CAUSES AND CONSEQUENCES,0,5,WOS:000166446300005,NA,EDUCATION & EDUCATIONAL RESEARCH,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),4,ISI,NA,NOTREPORTED,NA,"VENEZKY RL, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS","VENEZKY RL, 2000, LEARNING TO BRIDGE THE DIGITAL DIVIDE: EDUCATION AND SKILLS-a",NA
FRANCIOSI AN;QUON BS,"FRANCIOSI, ALESSANDRO N.;QUON, BRADLEY S.","CHEN EM, 2022, OPHTHALMOLOGY, V129, P15, DOI 10.1016/J.OPHTHA.2021.07.003;FRANCIOSI AN, 2022, ANN AM THORAC SOC, V19, P498, DOI 10.1513/ANNALSATS.202101-087RL;GASKIN DJ, 2014, AM J PUBLIC HEALTH, V104, P2147, DOI 10.2105/AJPH.2013.301420;HAGIWARA N, 2013, SOC SCI MED, V87, P123, DOI 10.1016/J.SOCSCIMED.2013.03.016;LENHART-PENDERGRASS PM, 2021, PEDIATR PULM, V56, P2043, DOI 10.1002/PPUL.25421;MANTWILL S, 2015, PLOS ONE, V10, DOI 10.1371/JOURNAL.PONE.0145455;MOORE JE, 2021, J CYST FIBROS, V20, P699, DOI 10.1016/J.JCF.2020.10.005;PATIL S, 2014, BMJ-BRIT MED J, V349, DOI 10.1136/BMJ.G7392;PERKINS RC, 2021, ANN AM THORAC SOC, V18, P1588, DOI 10.1513/ANNALSATS.202012-1484RL;POURESLAMI I, 2021, BMC PUBLIC HEALTH, V21, DOI 10.1186/S12889-021-10313-X;ROOTMAN I., 2008, VISION HLTH LITERATE;SAMUEL LJ, 2021, BMC PUBLIC HEALTH, V21, DOI 10.1186/S12889-021-11205-W;SARKAR U, 2011, J AM MED INFORM ASSN, V18, P318, DOI 10.1136/AMIAJNL.2010.006015;SMILJANIC R, 2021, J ACOUST SOC AM, V149, P4013, DOI 10.1121/10.0005191;SMITH AC, 2020, J TELEMED TELECARE, V26, P309, DOI 10.1177/1357633X20916567;XIONG G, 2021, CLIN ORTHOP RELAT R, V479, P1417, DOI 10.1097/CORR.0000000000001775",NA,NA,NA,NA,NA,NA,S55,"ST PAULS HOSP, ADULT CYST FIBROSIS CLIN, VANCOUVER, BC, CANADA.;  ST PAULS HOSP, CTR HEART LUNG INNOVAT, VANCOUVER, BC, CANADA.;  UNIV BRITISH COLUMBIA, ROOM 166-1081 BURRARD ST, VANCOUVER, BC V6Z 1Y6, CANADA.;",NA,NA,NA,NA,NA,NA,2022-09-17,TELEHEALTH; EQUITY; CYSTIC FIBROSIS; DIGITAL DIVIDE,10.1016/j.jcf.2021.08.025,ARTICLE,DEC 2021,NA,1873-5010,ALEX.FRANCIOSI@HLI.UBC.CA; BRADLEY.QUON@HLI.UBC.CA,S56,,MICHAEL SMITH FOUNDATION FOR HEALTH RESEARCH TRAINEE AWARD [RT-2020-0493]; MICHAEL SMITH FOUNDATION FOR HEALTH RESEARCH SCHOLAR AWARD [16414],DR FRANCIOSI IS SUPPORTED BY A MICHAEL SMITH FOUNDATION FOR HEALTH RESEARCH TRAINEE AWARD (#RT-2020-0493). DR. QUON IS SUPPORTED BY A MICHAEL SMITH FOUNDATION FOR HEALTH RESEARCH SCHOLAR AWARD (#16414),XS3ML,NA,NA,DISPARITIES; RACE; ETHNICITY; POVERTY,NA,J CYST FIBROS,J. CYST. FIBROS,ENGLISH,16,"GREEN PUBLISHED, HYBRID",NA,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",DEC,2,AMSTERDAM,34507897,NA,J,ELSEVIER,2021,NA,"QUON, BS (CORRESPONDING AUTHOR), UNIV BRITISH COLUMBIA, ROOM 166-1081 BURRARD ST, VANCOUVER, BC V6Z 1Y6, CANADA.",RESPIRATORY SYSTEM,NA,NA,1569-1993,JOURNAL OF CYSTIC FIBROSIS,NA,3,3,TELEHEALTH OR TELEWEALTH? EQUITY CHALLENGES FOR THE FUTURE OF CYSTIC FIBROSIS CARE (COMMENTARY),1,1,WOS:000732817200014,20,RESPIRATORY SYSTEM,SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),3,ISI,ST PAULS HOSP;CTR HEART LUNG INNOVAT;UNIV BRITISH COLUMBIA,UNIV BRITISH COLUMBIA,NA,"FRANCIOSI AN, 2021, J CYST FIBROS","FRANCIOSI AN, 2021, J CYST FIBROS",CANADA;CANADA;CANADA
