"About the data: Exported on Oct 14, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010 or 2011; Fields of Research (ANZSRC 2020) is 38 Economics or 35 Commerce, Management, Tourism and Services or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
899,pub.1033243853,10.1016/j.ijhcs.2006.05.003,,,Measuring Internet usage: The Israeli case,"The article describes two instruments for measuring Internet Usage and the changes in subjects’ Internet usage following a controlled intervention. It focuses on the use of usage and lack of usage for measuring the digital gap. The “digital gap” is defined as the gap between individuals with and without access to technology (telephones, computers, Internet access) and related services. Since its emergence, the Internet has become the most important form of information and communication technology (ICT).The goal of the present research was to develop ways of measuring Internet usage for different segments of the Israeli population (it can also be used to measure Internet usage outside Israel). For the past few years, the Israeli government has sponsored programs designed to increase Internet usage in specific segments of the Israeli population. Some of these programs have been “controlled programs”. Controlled Internet Usage Programs are planned and monitored programs, which use research methods to discover whether they have increased Internet usage and changed Internet habits.The population of Internet users in Israel is presently 45.8% (compared with 68.2% in the US population). The past 5 years has witnessed a significant rise in the number of Internet users in the West in general and in Israel specifically: an increase of 152% in the number of Israeli households connected to the Internet during the period 2000–2005.However, large differences are apparent between the stronger and weaker sections of the Israeli population where the Internet is concerned, and controlled intervention is therefore a very important means of reducing these discrepancies.The present article describes two measurement instruments: the first instrument examines on-line proficiency, while the second determines patterns of Internet use and the status of respondents’ “Internet awareness”.The instruments were built to determine the reduction in the digital divide associated with Internet usage following controlled intervention, and the population's Internet usage status before and after intervention. The difference between the two measurements represents the increase or decrease in Internet usage.These two instruments may be used by agencies making decisions about resource disbursement to reduce the digital divide in a variety of populations.",,International Journal of Human-Computer Studies,,,2006-10,2006,,2006-10,64,10,984-997,Closed,Article,"Fisher, Yael; Bendas-Jacob, Orit","Fisher, Yael (Henrietta Szold Institute, Achva Academic College, Tel-Aviv, Israel); Bendas-Jacob, Orit (Henrietta Szold Institute, Achva Academic College, Tel-Aviv, Israel)","Fisher, Yael (Achva Academic College)","Fisher, Yael (Achva Academic College); Bendas-Jacob, Orit (Achva Academic College)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1033243853,46 Information and Computing Sciences,
898,pub.1051087040,10.1007/978-0-387-84822-8_20,,,Social networks within filtered ICT networks: A case study of the growth of internet usage within Iran,"This chapter investigates the growth of the Internet in Iran, the effect of Internet filtering, and the impact on marginalized groups including NGOs, female activists, religious minorities, the younger generation and the increase of the digital divide. Using secondary data from multiple sources, the chapter presents the current use of the Internet in Iran and makes comparisons with other countries in the Persian Gulf region. The chapter argues that Internet filtering and severe restrictions on SMS messaging negatively affect not only ICT expansion, but also civil liberties— thus increasing the digital divide regionally, as well as on a global scale.Keywords: ICT, digital divide, filtering, weblogging, gender digital divide, NGO, civil liberties, democracy",,IFIP Advances in Information and Communication Technology,Social Dimensions Of Information And Communication Technology Policy,,2008,2008,,2008,282,,299-317,All OA; Bronze,Chapter,"Shirazi, Farid","Shirazi, Farid (Ryerson University, Canada)",,"Shirazi, Farid (Ryerson University)",1,0,,,https://link.springer.com/content/pdf/10.1007/978-0-387-84822-8_20.pdf,https://app.dimensions.ai/details/publication/pub.1051087040,46 Information and Computing Sciences,
898,pub.1095921612,10.28945/2404,,,The Digital Divide in the United States and Worldwide,"The Digital Divide has been defined as a gap between those with access to new information technologies and those without. The term is also used to characterize the disparity between those who can effectively use information technology and those who cannot. This paper explores the digital divide within the United States (U.S.) and worldwide. Factors contributing to the widening of the gap are identified, including differences in income, age, education, race, household type, and geographic location. In an effort to reduce the Digital Divide, initiatives have been undertaken, such as promoting increased competition to reduce equipment and internet connection costs and U.S. government legislation to provide incentives such as tax relief to Internet providers serving specific geographic areas, and the global initiative by the G- 8 Heads of State to help coordinate worldwide government efforts in closing the Digital Divide.",,InSITE Conference,Proceedings of the 2001 InSITE Conference,,2001,2001,2001,,,,,All OA; Bronze,Proceeding,"C. Sipior, Janice; T Ward, Burke; Z. Marzec, Joanna","C. Sipior, Janice (); T Ward, Burke (); Z. Marzec, Joanna ()",,"C. Sipior, Janice (); T Ward, Burke (); Z. Marzec, Joanna ()",0,0,,0.0,http://proceedings.informingscience.org/IS2001Proceedings/pdf/SipiorEBKTheDi.pdf,https://app.dimensions.ai/details/publication/pub.1095921612,46 Information and Computing Sciences; 4610 Library and Information Studies,
898,pub.1030557277,10.4018/978-1-59904-939-7.ch183,,,The Existential Significance of the Digital Divide for America's Historically Underserved Populations,"During the 1990s, the digital divide figured prominently in the discourses of academics, corporate leaders, educators, and policymakers worldwide. In the U.S., we witnessed a massive infusion of computers and Internet access in homes, schools, libraries, and other neighborhood institutions. This has significantly increased citizens’ physical access to information and communication technology (ICT) artifacts and has enhanced citizens’ opportunities for acquiring and strengthening technical skills. However, does increased physical access and technical skills signal closure of the digital divide? In this chapter, I address this question by describing the preconstructed ways in which the digital divide is conceptualized by academics and policymakers, and inferring what these conceptualizations suggest about the existential significance of the digital divide as experienced by historically underserved groups in the U.S.",,,Global Information Technologies,,2008,2008,,,,,2520-2540,Closed,Chapter,"Tan, Felix B.; Kvasny, Lynette","Tan, Felix B. (); Kvasny, Lynette (The Pennsylvania State University, USA)",,"Tan, Felix B. (); Kvasny, Lynette (Pennsylvania State University)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1030557277,"46 Information and Computing Sciences; 4610 Library and Information Studies; 47 Language, Communication and Culture; 4701 Communication and Media Studies",
898,pub.1007361784,10.1177/0894439303021002002,,,The Global Digital Divide,"This article concerns the comparative dimension of the digital divide, the global digital divide, assessing processes of various sorts that shape this differentiating feature and mapping its trends of change. The authors (a) “map” the global digital divide with multiple indicators to find patterns of varying degrees of differentiation between countries worldwide and between blocs of countries and (b) assess the various national characteristics that contribute to the level of IT connectedness. The authors compare the effects of these various social national conditions on the pervasiveness of IT. Their preliminary results indicate that it is neither political nor economic national characteristics that are the determinants of IT connectedness but that cultural features are the prime causes. In this sense, the global digital divide is more a product of networking into global society than it is a mere reflection of local economic capabilities.",,Social Science Computer Review,,,2003-05,2003,2016-08-18,2003-05,21,2,144-161,Closed,Article,"Drori, Gili S.; Jang, Yong Suk","Drori, Gili S. (Stanford University); Jang, Yong Suk (University of Utah)",,"Drori, Gili S. (Stanford University); Jang, Yong Suk (University of Utah)",50,4,,,,https://app.dimensions.ai/details/publication/pub.1007361784,46 Information and Computing Sciences,
897,pub.1015285876,10.1007/978-0-387-84822-8_10,,,Digital divides and the role of policy and regulation: a qualitative study,"This chapter aims to answer the research question: what is the role of internet policy and regulation in digital divides in Greece? I argue that Internet policy and regulation account significantly for the persistence of digital divides in Greece. The chapter draws on literature that views the role of policy and regulation in digital inclusion as problematic and proposes a more dialectical view of the interactions between politics and technology, so that the democratic and participatory potential of the Information Society can be approached more critically. The chapter explores the research question empirically through in-depth individual interviews with elite actors in the Greek Information Society. Elite actors who are involved in various areas of policy and regulation in the Greek Information Society are in the position to account for the role of internet policy and regulation in aspects of digital exclusion from more than one perspective. Thus, the chapter argues about the significant role of decision-making in the Greek case of digital divides, providing the grounding upon which research outside Greece could rely on to look at other cases of digital divides and at the role of policy and regulation accordingly.Keywords: Digital divides, Greece, policy, regulation, interviews",,IFIP Advances in Information and Communication Technology,Social Dimensions Of Information And Communication Technology Policy,,2008,2008,,2008,282,,141-160,All OA; Bronze,Chapter,"Tsatsou, Panayiota","Tsatsou, Panayiota (London School of Economics and Political Science, UK)",,"Tsatsou, Panayiota (London School of Economics and Political Science)",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-0-387-84822-8_10.pdf,https://app.dimensions.ai/details/publication/pub.1015285876,46 Information and Computing Sciences,
897,pub.1072231747,10.4102/sajim.v13i1.471,,,Conquering the digital divide: Botswana and South Korea digital divide status and interventions,"Background: Botswana is putting in place initiatives towards establishing itself as a knowledgebased economy. Transformation from a resource-based to a knowledge-based economy is partly hinged on innovation, research and development capability, knowledge channels, and the funding of research and development activities.Objectives: Bridging the digital divide and narrowing the intra-national divide brings about global information and communication technology (ICT) usage that translates into changing work patterns and eventually transformed economies. This article outlines the different interventions implemented in Botswana to bridge the divide. The South Korean experience in bridging the divide is discussed so as to serve as lessons on how to effectively bridge the divide to Botswana’s initiatives.Method: Using a mix of exploratory and empirical study, this article presents the findings on the status of ICT uptake in Botswana and investigates the level of the digital divide in the country.Results: The results of the study show that the digital divide is much more evident in Botswana than in South Korea. South Korea has put in place robust strategic initiatives towards reducing the digital divide and this has largely transcended into its transformation into a full-fledged knowledge society.Conclusion: This article is timely as it unearths the different pointers that may be utilised in policy formation and what interventions need to be taken at both the individual and national level to bridge the digital divide.",,South African Journal of Information Management,,,2011-11-08,2011,2011-11-08,,13,1,,All OA; Gold,Article,"Sedimo, Nonofo C.; Bwalya, Kelvin J.; Du Plessis, Tanya","Sedimo, Nonofo C. (); Bwalya, Kelvin J. (); Du Plessis, Tanya ()",,"Sedimo, Nonofo C. (); Bwalya, Kelvin J. (); Du Plessis, Tanya ()",6,3,,3.65,https://sajim.co.za/index.php/sajim/article/download/471/509,https://app.dimensions.ai/details/publication/pub.1072231747,46 Information and Computing Sciences; 4610 Library and Information Studies,
895,pub.1004006776,10.1007/0-387-34588-4_27,,,The Corporate Digital Divide Between Smaller and Larger Firms,,,IFIP Advances in Information and Communication Technology,Social Inclusion: Societal and Organizational Implications for Information Systems,,2006-01-01,2006,,2006-01-01,208,,413-417,All OA; Bronze,Chapter,"Pliskin, Nava; Levy, Margi; Heart, Tsipi; O’Flaherty, Brian; O’Dea, Paul","Pliskin, Nava (Ben-Gurion University of the Negev, Beer-Sheva, Israel); Levy, Margi (Warwick Business School, Coventry, UK); Heart, Tsipi (University College Cork, Cork, Ireland); O’Flaherty, Brian (University College Cork, Cork, Ireland); O’Dea, Paul (Select Strategies, Ireland)",,"Pliskin, Nava (Ben-Gurion University of the Negev); Levy, Margi (University of Warwick); Heart, Tsipi (University College Cork); O’Flaherty, Brian (University College Cork); O’Dea, Paul ()",1,0,,,https://link.springer.com/content/pdf/10.1007/0-387-34588-4_27.pdf,https://app.dimensions.ai/details/publication/pub.1004006776,46 Information and Computing Sciences,
885,pub.1002271122,10.4018/ijossp.2010100102,,,Helping to Bridge the Digital Divide with Free Software and Services,"The growing importance of digital media in citizens’ participation in government is a major issue in obtaining government services, elections and campaigning in the 21st century. In order to participate in the consumption and creation of online media, citizens must have access to, and knowledge of, appropriate technology resources. There exists a gap between those who have access to technology and those who do not A gap commonly referred to as the digital divide. While there are many different aspects to the digital divide one of them is access to the software necessary to participate in digital media. A potential solution to the software component of the digital divide is the use of open source software and free online services. Implementing these solutions can play a part in narrowing the digital divide and producing better informed citizens more capable of participating in the modern electoral process.",,International Journal of Open Source Software and Processes,,,2010-10-01,2010,,2010-10-01,2,4,13-27,Closed,Article,"Caudill, Jason G.","Caudill, Jason G. (Carson-Newman College, USA)",,"Caudill, Jason G. (Carson Newman University)",1,0,,0.46,,https://app.dimensions.ai/details/publication/pub.1002271122,"46 Information and Computing Sciences; 4610 Library and Information Studies; 47 Language, Communication and Culture; 4701 Communication and Media Studies",
884,pub.1042508274,10.4018/978-1-60566-699-0.ch035,,,The Empirics of the Digital Divide,"Accurate measurement of digital divides is important for policy purposes. Empirical studies of broadband subscription gaps have largely used cross-sectional data, which cannot speak to the timing of technological adoption. Yet, the dynamics of a digital divide are important and deserve study. With the goal of improving our understanding of appropriate techniques for analyzing digital divides, we review econometric methodology and propose the use of duration analysis. We compare the performance of alternative estimation methods using a large dataset on DSL subscription in the U.S., paying particular attention to whether women, blacks, and Hispanics catch up to others in the broadband adoption race. We conclude that duration analysis best captures the dynamics of the broadband gaps and is a useful addition to the analytic tool box of digital divide researchers. Our results support the official collection of broadband statistics in panel form, where the same households are followed over time.",,,Handbook of Research on Overcoming Digital Divides,,2010,2010,,,,,645-665,Closed,Chapter,"Ferro, Enrico; Dwivedi, Yogesh K.; Gil-Garcia, J. Ramon; Williams, Michael D.; Hu, Wei-Min; Prieger, James E.","Ferro, Enrico (); Dwivedi, Yogesh K. (); Gil-Garcia, J. Ramon (); Williams, Michael D. (); Hu, Wei-Min (Peking University HSBC School of Business, China); Prieger, James E. (Pepperdine University, USA)",,"Ferro, Enrico (); Dwivedi, Yogesh K. (); Gil-Garcia, J. Ramon (); Williams, Michael D. (); Hu, Wei-Min (Peking University); Prieger, James E. (Pepperdine University)",2,0,,0.62,,https://app.dimensions.ai/details/publication/pub.1042508274,38 Economics; 3801 Applied Economics,
884,pub.1012858785,10.1016/j.giq.2008.05.004,,,Understanding the complexity of electronic government: Implications from the digital divide literature,"Theoretically and practically E-Government and the digital divide are intertwined social phenomena. Using sophisticated information technologies (IT) in government has little social value if citizens are not able to use services or interact in political processes in meaningful ways. Similarly, understanding the development and use of IT in government without incorporating a demand perspective would potentially lead to partial explanations of a complex social reality. This article argues that studies about E-Government and the digital divide, which have been relatively disconnected research areas, have important parallels and potential intersections. These parallels may be useful in understanding E-Government projects and policies in a more comprehensive way and, consequently, for developing effective digital strategies. The paper reviews trajectories in E-Government and digital divide research and suggests potential implications drawn from the digital divide literature for E-Government research and practice, including model and theory development, understanding users, and some determinants of demand.","The authors want to thank Sharon Dawes, Karl Rethemeyer, and Terry Maxwell for their helpful comments and suggestions to earlier versions of this paper. Any mistakes or omissions are the sole responsibility of the authors. This study was partially supported by the National Science Foundation (NSF) under Grant No. 0131923. The views and conclusions expressed in this paper are those of the authors and do not necessarily reflect the views of the National Science Foundation.",Government Information Quarterly,,,2009-01,2009,,2009-01,26,1,89-97,Closed,Article,"Helbig, Natalie; Gil-García, J. Ramón; Ferro, Enrico","Helbig, Natalie (Rockefeller College of Public Affairs and Policy, University at Albany, State University of New York at Albany, USA); Gil-García, J. Ramón (Centro de Investigación y Docencia Económicas, Mexico); Ferro, Enrico (Istituto Superiore Mario Boella (ISMB), Italy)","Helbig, Natalie (University at Albany, State University of New York)","Helbig, Natalie (University at Albany, State University of New York); Gil-García, J. Ramón (Centro de Investigación y Docencia Económicas); Ferro, Enrico (Istituto Superiore Mario Boella)",264,48,,171.56,,https://app.dimensions.ai/details/publication/pub.1012858785,46 Information and Computing Sciences; 4610 Library and Information Studies,
884,pub.1003510055,10.4018/978-1-59904-939-7.ch219,,,Epistemic Value Theory and the Digital Divide,"The digital divide refers to inequalities in access to information technology. Those people who do not have access to information technology are at a significant economic and social disadvantage. As with any other policy decision, in order to evaluate policies for dealing with the digital divide, we need to know exactly what our goal should be. Since the principal value of access to information technology is that it leads to knowledge, work in epistemology can help us to clarify our goal in the context of the digital divide. In this paper, I argue that epistemic value theory can help us to determine which distribution of knowledge to aim for. Epistemic value theory cannot specify a particular distribution to aim for, but it can significantly narrow down the range of possibilities. Additionally, I indicate how the exercise of applying epistemic value theory to the case of the digital divide furthers work in epistemology.",,,Global Information Technologies,,2008,2008,,,,,3105-3118,All OA; Green,Chapter,"Tan, Felix B.; Fallis, Don","Tan, Felix B. (); Fallis, Don (University of Arizona, USA)",,"Tan, Felix B. (); Fallis, Don (University of Arizona)",0,0,,0.0,https://repository.arizona.edu/bitstream/10150/105664/1/EVTDDfallis.pdf,https://app.dimensions.ai/details/publication/pub.1003510055,46 Information and Computing Sciences; 4609 Information Systems,
884,pub.1043090166,10.4018/978-1-59904-851-2.ch011,,,Digital Divide and Broadband Access in an Italian Region,"Reducing the digital divide in order to build an information society for all is one of the top priorities for European policymakers. A better understanding of the determinants of broadband access at the individual level represents a key starting point for any e-inclusion policy. Based on a review of the literature on digital divide and broadband access, we document different approaches to understanding the digital divide and argue that these perspectives can also help to understand broadband access. Combining the digital divide and broadband literature provides a systematic and theory-based approach to the selection and inclusion of variables in different models. This chapter presents the results of a survey conducted in an Italian region. We provide some implications of our findings and argue that policymakers should explore the relationship between IT skills acquisition, broadband access, and Internet use in order to develop more effective policies and programs.",,,Handbook of Research on Global Diffusion of Broadband Data Transmission,,2008,2008,,,,,160-176,Closed,Chapter,"Dwivedi, Yogesh K.; Papazafeiropoulou, Anastasia; Choudrie, Jyoti; Ferro, Enrico; Gil-Garcia, J. Ramon; Helbig, Natalie","Dwivedi, Yogesh K. (); Papazafeiropoulou, Anastasia (); Choudrie, Jyoti (); Ferro, Enrico (Istituto Superiore Mario BoellaItaly); Gil-Garcia, J. Ramon (Centro de Investigación y Docencia Económicas, Mexico); Helbig, Natalie (University at Albany, SUNY, USA)",,"Dwivedi, Yogesh K. (); Papazafeiropoulou, Anastasia (); Choudrie, Jyoti (); Ferro, Enrico (); Gil-Garcia, J. Ramon (Centro de Investigación y Docencia Económicas); Helbig, Natalie (University at Albany, State University of New York)",5,0,,3.27,,https://app.dimensions.ai/details/publication/pub.1043090166,46 Information and Computing Sciences; 4610 Library and Information Studies,
883,pub.1063872687,10.1177/0894439308321628,,,The Role of Income Inequality in a Multivariate Cross-National Analysis of the Digital Divide,"This article is subject to the following research question: Is the role of income inequality in comparison to other factors an element that influences the digital divide? Eleven variables providing data on 126 countries are analyzed using multivariate regression to identify which of them influence Internet usage to what extent. The used data on 126 countries refer to the year 2005. The results show that income inequality measured by the Gini coefficient is an important influencing factor besides per capita income, the degree of urbanization, and the level of democratization. The results question reductionistic digital divide approaches that analyze information inequality via focusing on a single variable (such as technology or markets). Access to ICTs is shaped by the interaction of socioeconomic, political, cultural, social, and technological factors. These results cast doubt on technological determinism, economic reductionism, and linear trend projection in the digital divide debate. Digital divide causes are complex.",,Social Science Computer Review,,,2008-04-07,2008,2008-04-07,2009-02,27,1,41-58,Closed,Article,"Fuchs, Christian","Fuchs, Christian (University of Salzburg, Austria, christian.fuchs@sbg.ac.at)",,"Fuchs, Christian (University of Salzburg)",134,24,,,,https://app.dimensions.ai/details/publication/pub.1063872687,46 Information and Computing Sciences,10 Reduced Inequalities
883,pub.1040535260,10.4018/978-1-59140-968-7.ch002,,,Epistemic Value Theory and the Digital Divide,"The digital divide refers to inequalities in access to information technology. Those people who do not have access to information technology are at a significant economic and social disadvantage. As with any other policy decision, in order to evaluate policies for dealing with the digital divide, we need to know exactly what our goal should be. Since the principal value of access to information technology is that it leads to knowledge, work in epistemology can help us to clarify our goal in the context of the digital divide. In this paper, I argue that epistemic value theory can help us to determine which distribution of knowledge to aim for. Epistemic value theory cannot specify a particular distribution to aim for, but it can significantly narrow down the range of possibilities. Additionally, I indicate how the exercise of applying epistemic value theory to the case of the digital divide furthers work in epistemology.",,,Information Technology and Social Justice,,2007,2007,,,,,29-46,All OA; Green,Chapter,"Rooksby, Emma; Weckert, John; Fallis, Don","Rooksby, Emma (); Weckert, John (); Fallis, Don (University of Arizona, USA)",,"Rooksby, Emma (); Weckert, John (); Fallis, Don (University of Arizona)",5,0,,1.3,https://repository.arizona.edu/bitstream/10150/105664/1/EVTDDfallis.pdf,https://app.dimensions.ai/details/publication/pub.1040535260,46 Information and Computing Sciences; 4609 Information Systems,
881,pub.1015113631,10.1023/b:mind.0000005137.58950.c9,,,Making Information Transparent as a Means to Close the Global Digital Divide,"This paper argues that information should be made transparent as a means to close the global digital divide problem. The usual conception of the digital divide as a bifurcation between the information ‘rich’ and ‘poor’ in fact does a poor job at describing the reality of the situation, which is characterized by multiple dimensions of digital divides in many contexts. Taking the lead from Albert Borgmann, it is recognized that the so-called information poor do possess a rich resource of information which needs to be fully accounted for in order to solve the global digital divide problem. In addition, making information transparent means, following the theory of development of Peruvian economist Hernando de Soto, that information should be made available and accessible through a system of representation. Floridi’s account of information ethics thus needs to be supplemented by the realization that members of infosphere, which in his view consist of information objects, should be made transparent in order that the global digital divide be ameliorated. In other words there should be a system of information about information, namely semantic representation of objective information which enables the locals to make full use of their available informational resources.",,Minds and Machines,,,2004-02,2004,,2004-02,14,1,85-99,All OA; Green,Article,"Hongladarom, Soraj","Hongladarom, Soraj (Department of Philosophy, Faculty of Arts, Chulalongkorn University, 10330, Bangkok, Thailand)",,"Hongladarom, Soraj (Chulalongkorn University)",10,0,,7.14,http://www.cse.buffalo.edu/~rapaport/510/mm-hongladarom.pdf,https://app.dimensions.ai/details/publication/pub.1015113631,46 Information and Computing Sciences; 4610 Library and Information Studies,
879,pub.1039002537,10.1080/1097198x.2005.10856401,,,A Conceptual Framework for the Role of Government in Bridging the Digital Divide,"In the current era of technological growth and innovation, the role of information and communication technology (ICT) as a catalyst to enhance economic development and the quality of life in developing countries, has become an increasingly important issue. The term digital divide has been used to refer to the gap between those who have access to and utilize ICT versus those who do not. Based on the literature on the digital divide and calls for broad-spectrum interdisciplinary frameworks to guide research on this topic (Lu, 2001), a conceptual framework is presented in this paper to explain the forces that often increase the digital divide as well as those that can provide the means to bridge it. Using this framework, India is used as an illustrative case to document attempts to utilize ICT to enhance the economic circumstances and quality of life for the rural and poor segments of the Indian population and to argue that government and other public institutions have an important role in bridging the digital divide in developing countries. Further, the direct role of government is distinguished from the indirect role in order to clarify and delineate the various ways in which public institutions can facilitate bridging the digital divide.",,Journal of Global Information Technology Management,,,2005-07,2005,2014-09-09,2005-07,8,3,28-46,Closed,Article,"Mistry, Jamshed J.","Mistry, Jamshed J. (Worcester Polytechnic Institute, U.S.A., jjmistry@wpi.edu)",,"Mistry, Jamshed J. (Worcester Polytechnic Institute)",18,2,,11.81,,https://app.dimensions.ai/details/publication/pub.1039002537,46 Information and Computing Sciences; 4610 Library and Information Studies,
877,pub.1051403945,10.1080/01972240309490,,,"Dissecting the ""Digital Divide"": A Case Study in Egypt","For the last decade, the concept of a ""digital divide"" has framed people's understanding of technology's relationship to equity and development. This article critiques theoretically the digital divide concept and supports this critique by examining a case study of technology and education in Egypt. The study illustrates the social embeddedness of technology and the intertwining of computer access with broader issues of political power, thus refuting simplistic notions of divides to be overcome through provision of equipment.",,The Information Society,,,2003-09,2003,,2003-09,19,4,297-304,Closed,Article,"Warschauer, Mark","Warschauer, Mark (Department of Education, University of California, Irvine, Irvine, California, USA)",,"Warschauer, Mark (University of California, Irvine)",133,15,,28.74,,https://app.dimensions.ai/details/publication/pub.1051403945,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4608 Human-Centred Computing; 4610 Library and Information Studies",4 Quality Education
876,pub.1014954786,10.1145/985921.985968,,,Connecting bridges across the digital divide,"Connecting people across the Digital Divide is as much a social effort as a technological one. We are developing a community-centered approach to learn how interaction techniques can compensate for poor communication across the Digital Divide. Preliminary trials have yielded interfaces that deal with poor quality by adapting Instant Messaging techniques for multiple modalities, providing improved semi-synchronous communication. Lessons learned suggest new ways to design user interfaces specifically for the developing world.",,,Extended abstracts of the 2004 conference on Human factors and computing systems  - CHI '04,,2004,2004,,2004,,,1039-1040,All OA; Green,Proceeding,"Tucker, William D.","Tucker, William D. (University of Cape Town, Rondebosch, South Africa)",,"Tucker, William D. (University of Cape Town)",0,0,,0.0,https://repository.uwc.ac.za:443/xmlui/bitstream/10566/591/1/Tucker-CHI2004.pdf,https://app.dimensions.ai/details/publication/pub.1014954786,"46 Information and Computing Sciences; 4608 Human-Centred Computing; 47 Language, Communication and Culture; 4701 Communication and Media Studies",3 Good Health and Well Being
876,pub.1039281789,10.1016/j.giq.2010.05.007,,,The role of IT literacy in defining digital divide policy needs,"This article expands our current understanding of the digital divide by examining differences in individuals' IT skills acquisition. In the last two decades scholars have gradually refined the conceptualization of the digital divide, moving from a dichotomous model mainly based on access, to a multidimensional model accounting for differences in usage levels and actors' perspectives. Digital divide views tend to focus on groups of users and user characteristics and focus less on different processes of use. As models of the digital divide became more complex, research focused on deepening the understanding of demographic and socioeconomic differences between adopters and non-adopters. While IT literacy is an important factor in digital divide research, and studies examine user characteristics with respect to IT literacy, few studies make the process of basic IT literacy acquisition their main focal point (Selwyn, 2005). This perspective furthers our thinking by expanding the notion of user characteristics beyond demographic and socioeconomic differences to differences in the processes leading to internet use. Based on a dataset referring to an Italian region, this paper presents a metaphorical interpretation of the digital divide in general and explores the process of IT skills acquisition in particular. Our analysis shows the key role of self-learning and the presence of three distinct approaches in IT skills acquisition leading to different needs in terms of policy. We argue that these preliminary results are a useful starting point for the design of more effective and sophisticated digital inclusion policies.",,Government Information Quarterly,,,2011-01,2011,,2011-01,28,1,3-10,All OA; Green,Article,"Ferro, Enrico; Helbig, Natalie C.; Gil-Garcia, J. Ramon","Ferro, Enrico (Istituto Superiore Mario Boella (ISMB), Italy); Helbig, Natalie C. (Center for Technology in Government/SUNY Albany, USA); Gil-Garcia, J. Ramon (Centro de Investigación y Docencia Económicas, Mexico)","Ferro, Enrico (Istituto Superiore Mario Boella)","Ferro, Enrico (Istituto Superiore Mario Boella); Helbig, Natalie C. (); Gil-Garcia, J. Ramon (Centro de Investigación y Docencia Económicas)",101,16,,27.84,https://zenodo.org/record/894508/files/article.pdf,https://app.dimensions.ai/details/publication/pub.1039281789,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 44 Human Society; 4407 Policy and Administration; 46 Information and Computing Sciences; 4609 Information Systems",4 Quality Education
875,pub.1031109669,10.1007/978-3-540-30078-6_48,,,Digital Divides Revisited: Towards a Model for Analysis,"This paper presents a model for analyzing divides. The model is based on earlier research on the divide and includes: physical access, autonomy of use, know-how and motivation. Depending on the type of digital divide and the local situation, rectifying efforts must address the most crucial factor, which could be any of the four.",,Lecture Notes in Computer Science,Electronic Government,,2004,2004,,2004,3183,,289-292,Closed,Chapter,"Andersson, Annika","Andersson, Annika (Department of Informatics (ESI), Örebro University, 701 82, Örebro, Sweden)",,"Andersson, Annika (Örebro University)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1031109669,46 Information and Computing Sciences,
873,pub.1028805887,10.1007/978-1-4419-0011-1_14,,,Knowledge Networking to overcome the Digital Divide,"As organizations become increasingly extended across global boundaries, their reliance on information and communication technologies (ICTs) to support their processes increases. The use of ICTs to activate dispersed knowledge within complex webs of human networks can enable the gap between the information rich and information poor to be overcome. This paper develops a new concept called knowledge networking and investigates how this process enables the digital divide to be overcome. Following a phenomenological analysis of knowledge networking using a selection of vignettes, this paper provides a conceptual model describing the ways in which knowledge networking enables the digital divide to be overcome.",,Annals of Information Systems,Knowledge Management and Organizational Learning,,2009-05-18,2009,2009-05-18,2009,4,,215-234,Closed,Chapter,"Qureshi, Sajda; Kamal, Mehruz; Keen, Peter","Qureshi, Sajda (Department of Information Systems and Quantitative Analysis, College of Information Systems and Technology, University of Nebraska, Omaha, NE, USA); Kamal, Mehruz (Department of Information Systems and Quantitative Analysis, College of Information Systems and Technology, University of Nebraska, Omaha, NE, USA); Keen, Peter (Department of Information Systems and Quantitative Analysis, College of Information Systems and Technology, University of Nebraska, Omaha, NE, USA)","Qureshi, Sajda (University of Nebraska at Omaha)","Qureshi, Sajda (University of Nebraska at Omaha); Kamal, Mehruz (University of Nebraska at Omaha); Keen, Peter (University of Nebraska at Omaha)",13,5,,4.41,,https://app.dimensions.ai/details/publication/pub.1028805887,46 Information and Computing Sciences; 4609 Information Systems,
